transaction_id,email,card_number,ip,fingerprint,price,timestamp,merchant,product
TXN_0001,sarah.smith@yahoo.com,40000002795076923,172.16.0.200,fp_clean_14,299.99,2025-06-05T16:13:26.409125,TestStore,Product_3
TXN_0002,user@mailinator.com,3782822183173803,172.16.0.9,fp_clean_14,0.01,2025-06-05T16:13:26.409125,TestStore,Product_6
TXN_0003,david.wilson@business.org,3714499310764150,192.168.1.100,fp_clean_8,499.99,2025-06-20T16:13:26.409125,TestStore,Product_2
TXN_0004,user@mailinator.com,9999998850424511,172.16.0.9,fp_abc123,0.01,2025-06-18T16:13:26.409125,TestStore,Product_1
TXN_0005,sarah.smith@yahoo.com,3782829144225528,10.0.0.50,fp_clean_12,19.99,2025-06-25T16:13:26.409125,TestStore,Product_5
TXN_0006,test@tempmail.com,3714499265602903,192.168.1.100,fp_repeat_777,19.99,2025-06-02T16:13:26.409125,TestStore,Product_1
TXN_0007,david.wilson@business.org,1234564166326042,203.0.113.10,fp_xyz789,0.01,2025-06-09T16:13:26.409125,TestStore,Product_6
TXN_0008,sarah.smith@yahoo.com,4242421945564119,172.16.0.200,fp_clean_15,199.99,2025-06-04T16:13:26.409125,TestStore,Product_7
TXN_0009,mike.johnson@outlook.com,40000004649852729,10.0.0.50,fp_clean_10,299.99,2025-06-05T16:13:26.409125,TestStore,Product_8
TXN_0010,david.wilson@business.org,3714491779258986,172.16.0.200,fp_clean_7,499.99,2025-06-03T16:13:26.409125,TestStore,Product_3
TXN_0011,sarah.smith@yahoo.com,40000004878624707,192.168.1.100,fp_clean_5,19.99,2025-06-04T16:13:26.409125,TestStore,Product_8
TXN_0012,david.wilson@business.org,40000005442148515,172.16.0.200,fp_clean_5,499.99,2025-05-30T16:13:26.409125,TestStore,Product_5
TXN_0013,test@tempmail.com,3714494964921839,10.0.0.50,fp_clean_13,0.99,2025-05-28T16:13:26.409125,TestStore,Product_8
TXN_0014,test@tempmail.com,4242421423965194,203.0.113.45,fp_xyz789,499.99,2025-06-23T16:13:26.409125,TestStore,Product_3
TXN_0015,david.wilson@business.org,4242424794828248,203.0.113.10,fp_clean_5,499.99,2025-06-13T16:13:26.409125,TestStore,Product_4
TXN_0016,mike.johnson@outlook.com,3782826655125408,172.16.0.200,fp_clean_17,499.99,2025-06-17T16:13:26.409125,TestStore,Product_4
TXN_0017,john.doe@gmail.com,3714498031997217,192.168.1.100,fp_clean_14,19.99,2025-05-30T16:13:26.409125,TestStore,Product_3
TXN_0018,lisa.brown@company.com,3782823250123871,203.0.113.10,fp_clean_12,49.99,2025-06-02T16:13:26.409125,TestStore,Product_3
TXN_0019,temp@10minutemail.com,40000001913808062,10.0.0.50,fp_clean_11,0.01,2025-06-01T16:13:26.409125,TestStore,Product_8
TXN_0020,user@mailinator.com,1234562131353500,203.0.113.45,fp_xyz789,0.99,2025-06-03T16:13:26.409125,TestStore,Product_6
TXN_0021,sarah.smith@yahoo.com,4242424181537518,172.16.0.200,fp_clean_12,19.99,2025-06-25T16:13:26.409125,TestStore,Product_9
TXN_0022,david.wilson@business.org,40000009087151118,203.0.113.10,fp_clean_3,19.99,2025-06-22T16:13:26.409125,TestStore,Product_5
TXN_0023,sarah.smith@yahoo.com,40000004623181285,203.0.113.10,fp_clean_11,19.99,2025-06-03T16:13:26.409125,TestStore,Product_4
TXN_0024,david.wilson@business.org,3782826233742852,203.0.113.10,fp_clean_8,99.99,2025-06-20T16:13:26.409125,TestStore,Product_7
TXN_0025,lisa.brown@company.com,3714495527437560,192.168.1.100,fp_clean_19,299.99,2025-06-11T16:13:26.409125,TestStore,Product_10
TXN_0026,user@mailinator.com,1234566872883018,203.0.113.45,fp_xyz789,0.99,2025-06-01T16:13:26.409125,TestStore,Product_2
TXN_0027,david.wilson@business.org,3714497914292701,203.0.113.10,fp_clean_14,299.99,2025-06-08T16:13:26.409125,TestStore,Product_7
TXN_0028,sarah.smith@yahoo.com,3782822383782056,192.168.1.100,fp_clean_2,99.99,2025-05-29T16:13:26.409125,TestStore,Product_6
TXN_0029,mike.johnson@outlook.com,4242422244969592,192.168.1.100,fp_clean_17,49.99,2025-06-19T16:13:26.409125,TestStore,Product_7
